iter	Passed	Remaining
0	122	122102
1	123	61664
2	124	41478
3	125	31360
4	130	25878
5	131	21771
6	132	18849
7	134	16625
8	135	14886
9	136	13482
10	137	12326
11	138	11398
12	139	10601
13	140	9903
14	145	9546
15	146	9010
16	147	8528
17	148	8097
18	149	7716
19	150	7374
20	152	7108
21	153	6827
22	154	6564
23	155	6322
24	158	6183
25	159	5982
26	160	5790
27	161	5608
28	163	5471
29	164	5319
30	176	5502
31	177	5364
32	179	5271
33	181	5153
34	182	5029
35	183	4911
36	184	4799
37	185	4692
38	186	4589
39	189	4546
40	190	4452
41	191	4362
42	192	4277
43	193	4196
44	194	4119
45	195	4052
46	196	3982
47	197	3917
48	198	3855
49	199	3792
50	200	3732
51	203	3715
52	205	3667
53	208	3648
54	210	3608
55	211	3558
56	212	3507
57	213	3461
58	214	3414
59	215	3369
60	215	3323
61	218	3304
62	219	3262
63	220	3221
64	221	3181
65	222	3143
66	223	3105
67	223	3069
68	225	3038
69	226	3005
70	227	2972
71	228	2940
72	229	2908
73	230	2882
74	233	2881
75	234	2852
76	235	2824
77	236	2797
78	237	2770
79	238	2745
80	239	2721
81	240	2697
82	241	2668
83	242	2644
84	243	2620
85	244	2597
86	245	2574
87	248	2570
88	248	2548
89	249	2526
90	250	2505
91	251	2485
92	252	2465
93	254	2450
94	255	2433
95	256	2419
96	257	2401
97	258	2383
98	260	2368
99	261	2350
100	262	2337
101	264	2325
102	266	2316
103	267	2307
104	268	2291
105	269	2275
106	270	2260
107	271	2244
108	274	2242
109	275	2228
110	276	2213
111	277	2198
112	278	2183
113	279	2171
114	280	2157
115	281	2143
116	282	2128
117	283	2115
118	284	2103
119	285	2090
120	286	2078
121	286	2064
122	288	2057
123	289	2045
124	290	2033
125	291	2022
126	292	2009
127	293	1998
128	294	1987
129	295	1976
130	296	1966
131	297	1955
132	298	1945
133	299	1936
134	300	1926
135	302	1924
136	304	1917
137	305	1908
138	307	1905
139	308	1895
140	309	1886
141	310	1873
142	311	1864
143	312	1855
144	313	1845
145	313	1836
146	314	1827
147	318	1831
148	319	1823
149	320	1815
150	321	1806
151	322	1797
152	323	1788
153	324	1779
154	324	1771
155	325	1762
156	326	1754
157	327	1745
158	328	1738
159	331	1738
160	331	1729
161	332	1721
162	333	1713
163	334	1705
164	335	1698
165	336	1690
166	337	1683
167	338	1675
168	339	1668
169	340	1661
170	341	1654
171	342	1649
172	343	1642
173	346	1644
174	347	1637
175	348	1631
176	349	1624
177	350	1617
178	351	1611
179	352	1604
180	353	1598
181	354	1592
182	355	1586
183	356	1580
184	357	1573
185	358	1567
186	360	1568
187	362	1564
188	363	1558
189	364	1551
190	364	1545
191	365	1539
192	366	1534
193	367	1528
194	368	1522
195	369	1517
196	370	1512
197	371	1506
198	372	1500
199	376	1504
200	377	1499
201	378	1493
202	378	1487
203	379	1482
204	380	1476
205	381	1471
206	382	1466
207	383	1461
208	385	1458
209	386	1452
210	387	1447
211	388	1442
212	388	1437
213	390	1433
214	391	1429
215	393	1427
216	394	1423
217	395	1418
218	396	1414
219	397	1409
220	398	1404
221	399	1399
222	400	1395
223	401	1390
224	402	1386
225	405	1387
226	406	1383
227	407	1378
228	408	1374
229	409	1369
230	410	1365
231	411	1361
232	412	1357
233	413	1352
234	414	1348
235	415	1344
236	416	1340
237	417	1336
238	420	1337
239	421	1333
240	422	1329
241	423	1325
242	424	1321
243	425	1317
244	426	1313
245	427	1309
246	429	1309
247	430	1304
248	431	1300
249	432	1296
250	434	1295
251	435	1292
252	436	1288
253	437	1284
254	438	1280
255	439	1276
256	440	1272
257	441	1268
258	442	1264
259	443	1261
260	444	1257
261	444	1253
262	445	1249
263	446	1245
264	447	1241
265	450	1242
266	451	1238
267	452	1235
268	453	1231
269	454	1227
270	455	1224
271	456	1220
272	457	1217
273	458	1213
274	459	1210
275	460	1207
276	461	1203
277	462	1200
278	464	1201
279	465	1197
280	466	1194
281	467	1190
282	468	1187
283	469	1183
284	470	1180
285	471	1177
286	472	1173
287	473	1170
288	474	1167
289	475	1163
290	476	1160
291	477	1157
292	480	1158
293	481	1156
294	482	1154
295	485	1153
296	486	1150
297	487	1147
298	488	1144
299	489	1141
300	490	1138
301	491	1135
302	492	1132
303	493	1130
304	495	1128
305	502	1138
306	505	1141
307	508	1143
308	510	1140
309	511	1138
310	512	1135
311	513	1132
312	514	1130
313	516	1127
314	517	1125
315	518	1123
316	520	1120
317	523	1122
318	524	1120
319	529	1125
320	530	1123
321	532	1120
322	533	1117
323	534	1114
324	535	1111
325	536	1109
326	540	1112
327	541	1110
328	543	1107
329	544	1104
330	545	1102
331	546	1099
332	547	1096
333	548	1093
334	549	1090
335	550	1087
336	552	1086
337	553	1083
338	554	1082
339	555	1079
340	556	1076
341	557	1073
342	558	1070
343	559	1067
344	560	1065
345	561	1062
346	562	1058
347	563	1055
348	567	1058
349	568	1056
350	570	1054
351	572	1053
352	573	1051
353	574	1048
354	575	1045
355	576	1042
356	577	1040
357	578	1037
358	583	1041
359	584	1038
360	585	1036
361	586	1033
362	587	1030
363	588	1028
364	589	1025
365	590	1022
366	591	1019
367	591	1016
368	592	1013
369	593	1010
370	598	1014
371	599	1012
372	601	1010
373	602	1008
374	603	1005
375	604	1002
376	605	1000
